
SELECT c.Name AS country, ci.Name AS city
FROM Country c
JOIN City ci ON CAST(ci.Country AS TEXT) = CAST(c.Code AS TEXT)
WHERE ci.Population > 1000000;
QUERY PLAN
|--SCAN ci
Bangladesh|Chittagong
Bangladesh|Dhaka
Myanmar|Mandalay
Myanmar|Yangon
Myanmar|Nay Pyi Taw
India|Visakhapatnam
India|Vijayawada
India|Patna
India|Ahmadabad
India|Surat
India|Vadodara
India|Rajkot
India|Srinagar
India|Bangalore
India|Bhopal
India|Indore
India|Jabalpur
India|Gwalior
India|Mumbai
India|Nagpur
India|Pune
India|Kalyan
India|Thane
India|Nashik
India|Aurangabad
India|Pimpri Chinchwad
India|Ludhiana
India|Amritsar
India|Jaipur
India|Jodhpur
India|Kota
India|Chennai
India|Madurai
India|Coimbatore
India|Lucknow
India|Kanpur
India|Varanasi
India|Agra
India|Allahabad
India|Meerut
India|Faridabad
India|Kolkata
India|Haora
India|Delhi
India|Ghaziabad
India|Raipur
India|Ranchi
India|Hyderabad
Malaysia|Kuala Lumpur
Thailand|Bangkok
Vietnam|Hanoi
Vietnam|Ho Chi Minh
Kazakhstan|Almaty
North Korea|Pyongyang
Hong Kong|Hong Kong
Nepal|Kathmandu
Egypt|Shubra al Khimah
Egypt|Al Jizah
Egypt|Al Iskandariyah
Egypt|Al Qahirah
Indonesia|Medan
Indonesia|Palembang
Indonesia|Jakarta
Indonesia|Bandung
Indonesia|Bekasi
Indonesia|Depok
Indonesia|Semarang
Indonesia|Surabaya
Indonesia|Tangerang
Indonesia|Tangerang Selatan
Indonesia|Makassar
Iraq|Baghdad
Iraq|Al Basrah
Iraq|Al Mawsil
Jordan|Amman
Saudi Arabia|Riyadh
Saudi Arabia|Makkah
Saudi Arabia|Jeddah
Syria|Dimashq
Syria|Halab
Lebanon|Bayrut
Japan|Sapporo
Japan|Sendai
Japan|Saitama
Japan|Tokyo
Japan|Yokohama
Japan|Kawasaki
Japan|Nagoya
Japan|Kyoto
Japan|Osaka
Japan|Kobe
Japan|Hiroshima
Japan|Fukuoka
South Korea|Seoul
South Korea|Busan
South Korea|Daegu
South Korea|Incheon
South Korea|Gwangju
South Korea|Daejeon
South Korea|Ulsan
South Korea|Suwon
South Korea|Changwon
United Arab Emirates|Dubai
Yemen|Sanaa
Philippines|Davao
Philippines|Manila
Philippines|Quezon City
Philippines|Kalookan
Singapore|Singapore
Taiwan|Taipei
Taiwan|New Taipei
Taiwan|Kaohsiung
Taiwan|Taichung
Taiwan|Tainan
Mexico|Tijuana
Mexico|Ciudad Juarez
Mexico|Leon
Mexico|Guadalajara
Mexico|Zapopan
Mexico|Nezahualcoyotl
Mexico|Ecatepec
Mexico|Monterrey
Mexico|Puebla
Mexico|Ciudad de Mexico
Canada|Calgary
Canada|Toronto
Canada|Montreal
United States|Phoenix
United States|Los Angeles
United States|San Diego
United States|Chicago
United States|New York
United States|Philadelphia
United States|Houston
United States|San Antonio
United States|Dallas
Nicaragua|Managua
Cuba|La Habana
Dominican Republic|Santo Domingo
Colombia|Medellin
Colombia|Barranquilla
Colombia|Bogota
Colombia|Cali
Australia|Sydney
Australia|Brisbane
Australia|Adelaide
Australia|Melbourne
Australia|Perth
Argentina|San Justo
Argentina|Cordoba
Argentina|Buenos Aires
Bolivia|Santa Cruz de la Sierra
Brazil|Manaus
Brazil|Salvador
Brazil|Fortaleza
Brazil|Goiania
Brazil|Belo Horizonte
Brazil|Belem
Brazil|Curitiba
Brazil|Recife
Brazil|Rio de Janeiro
Brazil|Porto Alegre
Brazil|Sao Paulo
Brazil|Guarulhos
Brazil|Campinas
Brazil|Brasilia
Chile|Santiago
Uruguay|Montevideo
Peru|Lima
Venezuela|Maracaibo
Venezuela|Caracas
Ecuador|Quito
Ecuador|Guayaquil
Algeria|Algiers
Libya|Tripoli
Mali|Bamako
Morocco|Casablanca
Niger|Niamey
Angola|Luanda
Congo|Brazzaville
Zaire|Kinshasa
Zambia|Lusaka
Burkina Faso|Ouagadougou
Nigeria|Kano
Nigeria|Lagos
Nigeria|Ibadan
South Africa|Nelson Mandela Bay
South Africa|Tshwane
South Africa|Johannesburg
South Africa|Ekurhuleni - Germiston
South Africa|eThekwini
South Africa|Cape Town
Zimbabwe|Harare
Cote dIvoire|Abidjan
Ghana|Kumasi
Ghana|Accra
Tanzania|Dar es Salaam
Cameroon|Yaounde
Cameroon|Douala
Sudan|Omdurman
Guinea|Conakry
Liberia|Monrovia
Ethiopia|Addis Ababa
Kenya|Nairobi
Senegal|Dakar
Uganda|Kampala
Mozambique|Maputo
